,emo_text,text_v,text_a,speech_v,speech_a,fusion_v,fusion_a
0,新一佳儿不是成都的🙊，我不是很毒的🙊，放假下午下🙊,0.05324947589098531,0.7067085953878406,0.43300000000000005,0.911,0.08127986494439589,0.7594753650443584
1,上课消费呀打pp裤👊。,1.0911949685534592,0.39182389937106915,0.672,1.098,0.35703498010955576,1.3038025412538041
2,现在那个还是单了吗？😬啊想那您先自我介绍一下😅，包括年龄😬，啊然后一些工作啊或者在家也行！😅,-0.7113207547169811,0.4616352201257861,0.0,0.0,-0.004890654985664598,0.0031739529261519137
3,还有唉😐。,-2.413207547169811,0.6918238993710691,-0.5,-0.5,-0.26108947048082776,-0.08079732197200243
4,好🙈，那些平时一些生活啊🙈。,-0.3770440251572327,-0.19811320754716982,1.0,1.0,0.9944229925405879,0.995493010718987
5,好😬，大家好😬，我的名字叫赵静😬，今年31岁😬。,0.8416666666666667,0.022484276729559702,0.0,0.0,0.009349692954953585,0.0002497676242403063
6,然后我呢大家看到我是4口之家😅，其实我老公在外地工作😅，平时比较忙吗😅，,0.46273584905660375,1.169811320754717,0.0,0.426,0.005516056478820442,0.09074156806197675
7,然后呢我呢就是喜欢就是逛逛街👊，然后👊,1.1628930817610064,0.7918238993710691,0.672,1.098,0.3611980963603165,1.3270283477054172
8,麻将牌我是不打的😳，就吃👀，然后旅旅游一年有一次两次旅游😳，,0.3832285115303982,0.519496855345912,0.672,0.672,0.30602303656128954,0.30764742741471957
9,然后我呢是做那个服装会计的👀，是这一块👀，对平时呢还是比较爱好😳，就是说一些新科技啊就是半知不解的属于那种😳。,1.0675471698113208,0.7693081761006288,0.672,0.672,0.3141804775209297,0.31062531070848437
10,所以我们这一家的话是😅。,1.0911949685534592,0.39182389937106915,0.0,0.426,0.013007622141696864,0.08146754582031737
11,嗯您和您老公🙈，然后儿子还有您父母老公不常住在这？🙈,0.6788259958071278,0.3681341719077568,1.0,1.0,1.0007371654234314,0.998879207672538
12,老公出差👊，老公是属于那种在自动上班的👊，我们一家四口想象就是我我爸妈让孩子👊。,1.629559748427673,1.6555555555555557,0.43300000000000005,1.3370000000000002,0.17318353732805844,2.4090126641935496
13,嗯对😬，平时我就一个人管管我儿子😬。,0.3823899371069183,0.5751572327044026,0.0,0.0,0.005161791528100665,0.007763911763894832
14,那很辛苦唉辛苦啊没办法🙈，呀嗯那您的工作时间是不固定的吗？🙈,-1.090691823899371,-0.1153459119496854,1.0,1.0,0.9901553312856516,0.995987964646148
15,固定的会计了🙊，嗯周一到周五😅，,0.3790356394129979,0.6765199161425577,-0.239,0.665,0.00879698648204504,0.32387498706634216
16,对对对对对那😬。,1.6540880503144655,1.2993710691823899,-0.5,-0.5,-0.024923919659160073,-0.0455203895313451
17,今天特意是为我们排出时间吗？😅,1.2830188679245282,0.6949685534591195,0.0,0.426,0.015294264650755967,0.08508119070348619
18,接请假了🙈，嘛天哪你太感人了🙈，没事没事嗯嗯💟。,0.9825696316262355,0.8274034141958669,1.0,1.0,1.002553572547931,1.0016256682576496
19,那等于是相对有一定的自由度的！👊,2.3534591194968555,2.0352201257861635,0.672,1.098,0.3295092292390354,1.339247516731226
20,对对对相对就说我们就说因为我们老板比较好说话🙊，嘛所以我就经常欺负我们家老公😅，就说有点事😅，再加上本来孩子就是没有上课没上课🙊，对对对对🙊，,1.1411600279524807,0.8323549965059398,-0.239,0.665,0.053049370332724693,0.3329234756035707
21,本来昨天下午都大家去学校那个说一些那个就是主观嘛嗯🙈,0.9259958071278825,0.8192872117400419,1.0,1.0,1.0022152573183727,1.0015771328276812
22,那可以简单介绍一下😅，比方说我们工作的时候😅，周一到周五😅，,0.35157232704402513,0.9273584905660378,0.0,0.426,0.0041909284018493064,0.08785140187429713
23,然后是典型一天！😅,0.5150943396226415,0.23773584905660375,-0.239,0.239,-0.007421311514432086,0.01639544621391978
24,的形成比！😬,1.0553459119496855,0.6666666666666666,0.0,0.0,0.00659996376809816,0.00416922621822649
25,当说😬。,1.1754716981132076,0.740880503144654,0.0,0.0,0.03670673036538745,0.023135649208360837
26,几点起床😬，然后起床先干嘛😬，然后再点准备出门！😬,0.7062893081761006,0.4979035639412997,0.0,0.0,0.004434829557664973,0.0031263639654064436
27,嗯然后等等这样😬，嗯😅,0.21698113207547168,0.04716981132075471,-0.215,0.211,0.0029811221850273885,0.011829793237979308
28,我大概就是7点起床起床以后🙈，然后吃早饭🙈，然后陪她然后弄早饭什么的🙈，,0.6526205450733752,0.8857442348008386,1.0,1.0,1.0005804550868176,1.0019745502413338
29,嗯到8点差不多就出门了😳，然后到下午6点就回家😳，嗯😳,-0.16373165618448637,0.38784067085953877,0.672,0.672,0.2995029815819068,0.306078015944021
30,然后有时候我父母做饭😬，有时候我做饭这样！😬,1.60125786163522,0.9515723270440253,0.0,0.0,0.019026154974347318,0.0113065877754075
31,谁去接孩子！😅,0.41069182389937103,0.41572327044025154,0.0,0.426,0.004895664125952767,0.08175243898538047
32,可以是我管！👀,1.579245283018868,1.209433962264151,0.672,0.672,0.3202801901287018,0.31587184325877804
33,知道吗！😬等于他😬，你回家就还！😅,-0.1549266247379455,0.5654088050314465,0.0,0.0,-0.002874809955124291,0.010491694788863614
34,你在家在托管😅，其实😅，对😅，要到8点😅，我儿子写作业写得慢😅，那特别的满😅，小学三年级写到8:😅00！😅,0.8812893081761006,0.6881289308176101,0.0,0.426,0.010505435461701861,0.08499965877795826
35,你回家和儿子还没回！😬,-0.18679245283018867,0.22955974842767296,0.0,0.0,-0.0014914995518794155,0.001832987664767632
36,其实还没回家👀，有时候太累了😳，就不想去这种老妈去接一下😳。,-0.3971698113207547,-0.4477987421383648,0.672,0.672,0.29672027509683874,0.29611675141821825
37,但也比较近😅，就在那个😬,0.4984276729559748,0.8279874213836478,0.0,0.0,0.01684018608020967,0.02797489586699815
38,嗯就在你们进口的那个西苑🙈，那就在了很多方面那很方便🙈，就带着一片唉呀🙈,0.2421383647798741,0.4438679245283018,1.0,1.0,0.998125744374099,0.999332100545352
39,天哪🙈，再远就恼火了😕，头痛了！🙅,-0.5842767295597484,1.0628930817610063,0.0,0.0,-0.19575348752631253,0.35610699022547704
40,孩子上那个兴趣班跟那个托管都是最头痛的事儿😅，嗯😬,-0.6540880503144655,0.3122641509433962,0.0,0.0,-0.025473083038051555,0.012160947815762112
41,唉伤心了！😅,-1.2836477987421384,-0.889308176100629,0.0,0.426,-0.015301761839310259,0.06619577273522428
42,那你们工作的话😐，一般就是说😬。,0.5377358490566038,-0.9075471698113208,-0.215,0.211,0.02160558962264151,-0.04360538631162508
43,早上早上8点到晚上6点差不多😅，有时候还要加加班😬，呢😬,0.9524109014675052,0.879035639412998,0.0,0.0,0.00916653203312841,0.008460327716246406
44,有时候还要加班😬，对😬，加班最晚加班要点！😅,-0.09664570230607965,0.3832285115303984,0.0,0.0,-0.000832814908374725,0.003302354994596522
45,就是🙊,2.1635220125786163,1.6811320754716983,0.21800000000000008,0.6960000000000001,0.13564988976262937,0.42389173599513097
46,酒店😅。,1.2830188679245282,0.6949685534591195,-0.5,-0.5,-0.04646987218502739,-0.08061472915398661
47,没有吗？👀不过有有时候有时候赶上😳，,1.1015723270440252,0.3650943396226415,0.672,0.672,0.3145860754217169,0.3058068676246408
48,对是😅。,1.4163522012578618,1.278616352201258,-0.5,-0.5,-0.038727936701156415,-0.04672550213024954
49,那我们晚上到家6点🙌，然后呢✨,0.830607966457023,-0.17882599580712788,0.0,0.0,0.7077178412161568,-0.1523683287625901
50,然后就有时候就做做饭啦嗯弄！👀比如说孩子喜欢吃的东西会👀。,1.595440251572327,1.0712264150943396,0.672,0.672,0.3204732427339748,0.3142243360739723
51,做一些是这样的👊。,1.5251572327044025,1.082389937106918,0.672,1.098,0.3822327889957396,1.3438999240900793
52,然后就是休闲、👀娱乐、😳看看电视😳，,0.3482180293501049,0.47064989517819705,0.672,0.672,0.3056056930651006,0.3070651457703362
