,emo_text,text_v,text_a,speech_v,speech_a,fusion_v,fusion_a
0,我叫时天80🙏，您好🙏。然后这边是我们的产品和运营的同学👀,1.1067085953878406,0.8951781970649896,0.5,0.5,0.5710512129380054,0.5529200359389038
1,那能请您做一个自我介绍嘛🙏,1.2830188679245282,0.6949685534591195,0.5,0.5,0.5861635220125786,0.535759209344115
2,"那个我现在家里面小孩😬，大概就马上快一岁了😬，然后平时呢？😬因为现在以前就是还是挺喜欢周末朋友聚会吃饭😅，然后去自驾游有现在最近这个小孩的话就没有太多时间😅，可能全天大部分时间周末都是围着他的那个转😬，所以现在你要说爱好😅,就真的是好多时间都没有自由的空间了😅,我个人还是比较喜欢😬。",-0.06996855345911948,0.18118448637316562,0.0,0.0,-0.003076526692057326,0.007966706198084027
3,您是从事什么职业？🤚,-1.2672955974842768,-0.9830188679245284,0.0,0.426,-0.08773584905660378,0.3415602322206096
4,做餐饮的😋。,1.60125786163522,0.9515723270440253,0.0,0.0,1.60125786163522,0.9515723270440253
5,是自己开餐店吗🤚，,0.41069182389937103,0.41572327044025154,-0.45399999999999996,0.023999999999999994,-0.25512578616352194,0.14471698113207546
6,没有公司我们做那个招商这块的🙅。连锁店的品牌的运营🙊。,0.2965408805031446,0.5650943396226416,-0.215,0.211,-0.24209905660377362,0.4097720125786164
7,平时也是正常周一到周五上班🔫,-1.2446540880503145,0.7540880503144655,-0.5,-0.5,-1.2446540880503145,0.7540880503144655
8,对🙌，但😴，很多时候会出去就是巡店或者有那个其他的这个来就是咨询呢🙊，,1.0197064989517821,-0.013626834381551323,0.0,0.426,0.4456345750685374,-0.24646911788421222
9,那您平时喜欢浏览什么类的资讯app这种常用了👀。,-0.6515723270440251,-0.12830188679245283,0.5,0.5,0.42034141958670257,0.46519317160826595
10,游戏类的🙅，然后汽车类的美食、😳旅游的差不多这几个大类😋，看的比较多😒。,0.4417190775681341,1.0284067085953879,-0.5,-0.5,0.19574423480083855,0.4111530398322851
11,都是通过什么样的app看😅,-0.6515723270440251,-0.12830188679245283,0.0,0.0,-0.03815416789389213,-0.0075129828671370615
12,汽车的话🙊，我只看那个汽车之家🙊，然后那个旅游的话就比较多🙊，那个马蜂窝🙊，然后还有穷游网🤚，还有去哪儿🙊，反正就那好多的🙊，因为他不是公众号推送吧🙊，比如有什么地方？🤚他的打折机票或者说有什么景点？👏他那个一些信息嘛🙊，然后那个出去玩的话🙊，就可能是一些论坛吧🤚，我们本地的一些论坛🙊，他会有这个就是一些朋友🙊，他去玩而过🙊，一些经历它分享出来🙊，我们可以跟着他的线路🤚，然后大家组织一起去玩🙊。,0.4617250673854447,0.4624438454627134,0.0,0.426,0.16805469163959733,0.5168821849010529
