,emo_text,text_v,text_a,speech_v,speech_a,fusion_v,fusion_a
0,我叫时天80👀，您好🙏。然后这边是我们的产品和运营的同学👀,0.5593291404612158,0.38930817610062896,0.5,0.5,0.5241329739442947,0.5095597484276729
1,那能请您做一个自我介绍嘛🙏,1.5251572327044025,1.082389937106918,0.5,0.5,0.6069182389937107,0.5689667565139264
2,"那个我现在家里面小孩😬，大概就马上快一岁了😅，然后平时呢？😳因为现在以前就是还是挺喜欢周末朋友聚会吃饭😋，然后去自驾游有现在最近这个小孩的话就没有太多时间😐，可能全天大部分时间周末都是围着他的那个转🤚，所以现在你要说爱好😅,就真的是好多时间都没有自由的空间了🤚,我个人还是比较喜欢😬。",0.29273235499650596,0.20642907058001397,0.0,0.0,0.17151166757001415,0.1679007251351165
3,您是从事什么职业？🙊,1.1754716981132076,0.740880503144654,0.0,0.426,0.08137880986937593,0.4609071117561684
4,做餐饮的😬。,0.41069182389937103,0.41572327044025154,0.0,0.0,0.02843251088534107,0.028780841799709724
5,是自己开餐店吗😋，,1.60125786163522,0.9515723270440253,0.672,0.672,1.60125786163522,0.9515723270440253
6,没有公司我们做那个招商这块的🙅。连锁店的品牌的运营🙊。,0.2965408805031446,0.5650943396226416,0.0,0.426,-0.30055636187711665,0.44647435897435894
7,平时也是正常周一到周五上班😓,-0.6515723270440251,-0.12830188679245283,-0.5,-0.5,-0.6121383647798742,-0.4551572327044025
8,对🙌，但😴，很多时候会出去就是巡店或者有那个其他的这个来就是咨询呢🙊，我可能会去那个好多地方城市周边其他的二级城市也会去🙊。,0.7430817610062894,0.005660377358490565,0.0,0.426,0.33272375423318823,-0.08134857281083696
9,那您平时喜欢浏览什么类的资讯app这种常用了👀。,-0.6515723270440251,-0.12830188679245283,0.5,0.5,0.42034141958670257,0.46519317160826595
10,游戏类的😬，然后汽车类的美食、😋旅游的差不多这几个大类🙌，看的比较多😬。,0.9597484276729559,0.7654088050314465,0.0,0.0,0.787327594953393,0.5908756190779533
11,都是通过什么样的app看🙊,0.41069182389937103,0.41572327044025154,0.0,0.426,0.02843251088534107,0.43839622641509435
